tensor([[0.0131]], grad_fn=<AddmmBackward0>) tensor([[1.]])
tensor([[0.4564]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2789, grad_fn=<DivBackward0>)
tensor([[0.4594]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.2747, grad_fn=<DivBackward0>)
tensor([[0.4648]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2734, grad_fn=<DivBackward0>)
tensor([[0.4659]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2737, grad_fn=<DivBackward0>)
tensor([[0.4712]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2738, grad_fn=<DivBackward0>)
tensor([[0.4804]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2737, grad_fn=<DivBackward0>)
tensor([[0.4928]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2731, grad_fn=<DivBackward0>)
tensor([[0.5003]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2727, grad_fn=<DivBackward0>)
tensor([[0.5115]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2720, grad_fn=<DivBackward0>)
tensor([[0.5253]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2712, grad_fn=<DivBackward0>)
tensor([[0.5427]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2700, grad_fn=<DivBackward0>)
tensor([[0.5617]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2686, grad_fn=<DivBackward0>)
tensor([[0.5835]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2670, grad_fn=<DivBackward0>)
tensor([[0.6074]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2650, grad_fn=<DivBackward0>)
tensor([[0.6346]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(0.2626, grad_fn=<DivBackward0>)
tensor([[0.6549]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2602, grad_fn=<DivBackward0>)
tensor([[0.6771]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2635, grad_fn=<DivBackward0>)
tensor([[0.6894]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2608, grad_fn=<DivBackward0>)
tensor([[0.7027]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2580, grad_fn=<DivBackward0>)
tensor([[0.7193]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2552, grad_fn=<DivBackward0>)
tensor([[0.7402]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.2528, grad_fn=<DivBackward0>)
tensor([[0.7511]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(0.2522, grad_fn=<DivBackward0>)
tensor([[0.7580]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.2485, grad_fn=<DivBackward0>)
tensor([[0.7636]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2456, grad_fn=<DivBackward0>)
tensor([[0.7736]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2428, grad_fn=<DivBackward0>)
tensor([[0.7812]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.2395, grad_fn=<DivBackward0>)
tensor([[0.7926]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2367, grad_fn=<DivBackward0>)
tensor([[0.8044]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2340, grad_fn=<DivBackward0>)
tensor([[0.8186]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(0.2316, grad_fn=<DivBackward0>)
tensor([[0.8295]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.2285, grad_fn=<DivBackward0>)
tensor([[0.8391]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2258, grad_fn=<DivBackward0>)
tensor([[0.8467]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2231, grad_fn=<DivBackward0>)
tensor([[0.8593]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.2202, grad_fn=<DivBackward0>)
tensor([[0.8720]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2176, grad_fn=<DivBackward0>)
tensor([[0.8832]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2247, grad_fn=<DivBackward0>)
tensor([[0.8797]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(0.2251, grad_fn=<DivBackward0>)
tensor([[0.8701]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.2223, grad_fn=<DivBackward0>)
tensor([[0.8607]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2199, grad_fn=<DivBackward0>)
tensor([[0.8558]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2175, grad_fn=<DivBackward0>)
tensor([[0.8555]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.2149, grad_fn=<DivBackward0>)
tensor([[0.8525]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2209, grad_fn=<DivBackward0>)
tensor([[0.8343]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.2185, grad_fn=<DivBackward0>)
tensor([[0.8200]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2164, grad_fn=<DivBackward0>)
tensor([[0.8106]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2144, grad_fn=<DivBackward0>)
tensor([[0.8017]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.2120, grad_fn=<DivBackward0>)
tensor([[0.7968]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2101, grad_fn=<DivBackward0>)
tensor([[0.7935]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.2147, grad_fn=<DivBackward0>)
tensor([[0.7825]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.2124, grad_fn=<DivBackward0>)
tensor([[0.7721]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.2103, grad_fn=<DivBackward0>)
tensor([[0.7621]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2086, grad_fn=<DivBackward0>)
tensor([[0.7589]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.2066, grad_fn=<DivBackward0>)
tensor([[0.7551]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.2050, grad_fn=<DivBackward0>)
tensor([[0.7562]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.2029, grad_fn=<DivBackward0>)
tensor([[0.7567]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.2011, grad_fn=<DivBackward0>)
tensor([[0.7589]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1996, grad_fn=<DivBackward0>)
tensor([[0.7644]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1976, grad_fn=<DivBackward0>)
tensor([[0.7672]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1957, grad_fn=<DivBackward0>)
tensor([[0.7708]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1938, grad_fn=<DivBackward0>)
tensor([[0.7741]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1977, grad_fn=<DivBackward0>)
tensor([[0.7669]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1964, grad_fn=<DivBackward0>)
tensor([[0.7627]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1946, grad_fn=<DivBackward0>)
tensor([[0.7606]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1930, grad_fn=<DivBackward0>)
tensor([[0.7607]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1917, grad_fn=<DivBackward0>)
tensor([[0.7642]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1901, grad_fn=<DivBackward0>)
tensor([[0.7675]], grad_fn=<AddmmBackward0>) tensor([[0.1000]])
Average loss: tensor(0.1924, grad_fn=<DivBackward0>)
tensor([[0.7635]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1912, grad_fn=<DivBackward0>)
tensor([[0.7642]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1947, grad_fn=<DivBackward0>)
tensor([[0.7510]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1980, grad_fn=<DivBackward0>)
tensor([[0.7338]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1969, grad_fn=<DivBackward0>)
tensor([[0.7183]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1954, grad_fn=<DivBackward0>)
tensor([[0.7086]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1945, grad_fn=<DivBackward0>)
tensor([[0.7021]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1970, grad_fn=<DivBackward0>)
tensor([[0.6898]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1962, grad_fn=<DivBackward0>)
tensor([[0.6802]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1948, grad_fn=<DivBackward0>)
tensor([[0.6752]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(0.1931, grad_fn=<DivBackward0>)
tensor([[0.6716]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(0.1916, grad_fn=<DivBackward0>)
tensor([[0.6674]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1910, grad_fn=<DivBackward0>)
tensor([[0.6687]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1897, grad_fn=<DivBackward0>)
tensor([[0.6712]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1918, grad_fn=<DivBackward0>)
tensor([[0.6681]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1911, grad_fn=<DivBackward0>)
tensor([[0.6663]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.1901, grad_fn=<DivBackward0>)
tensor([[0.6631]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(0.1887, grad_fn=<DivBackward0>)
tensor([[0.6631]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1881, grad_fn=<DivBackward0>)
tensor([[0.6660]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1869, grad_fn=<DivBackward0>)
tensor([[0.6693]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1863, grad_fn=<DivBackward0>)
tensor([[0.6773]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1857, grad_fn=<DivBackward0>)
tensor([[0.6880]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1850, grad_fn=<DivBackward0>)
tensor([[0.7021]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1843, grad_fn=<DivBackward0>)
tensor([[0.7187]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1835, grad_fn=<DivBackward0>)
tensor([[0.7391]], grad_fn=<AddmmBackward0>) tensor([[0.6250]])
Average loss: tensor(0.1822, grad_fn=<DivBackward0>)
tensor([[0.7544]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1851, grad_fn=<DivBackward0>)
tensor([[0.7560]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1839, grad_fn=<DivBackward0>)
tensor([[0.7610]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1830, grad_fn=<DivBackward0>)
tensor([[0.7717]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1860, grad_fn=<DivBackward0>)
tensor([[0.7672]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1850, grad_fn=<DivBackward0>)
tensor([[0.7663]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1837, grad_fn=<DivBackward0>)
tensor([[0.7676]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1866, grad_fn=<DivBackward0>)
tensor([[0.7599]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1857, grad_fn=<DivBackward0>)
tensor([[0.7539]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1848, grad_fn=<DivBackward0>)
tensor([[0.7534]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1840, grad_fn=<DivBackward0>)
tensor([[0.7561]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1831, grad_fn=<DivBackward0>)
tensor([[0.7598]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(0.1838, grad_fn=<DivBackward0>)
tensor([[0.7585]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1830, grad_fn=<DivBackward0>)
tensor([[0.7592]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1821, grad_fn=<DivBackward0>)
tensor([[0.7627]], grad_fn=<AddmmBackward0>) tensor([[0.3333]])
Average loss: tensor(0.1822, grad_fn=<DivBackward0>)
tensor([[0.7613]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1813, grad_fn=<DivBackward0>)
tensor([[0.7614]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1840, grad_fn=<DivBackward0>)
tensor([[0.7536]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.1834, grad_fn=<DivBackward0>)
tensor([[0.7409]], grad_fn=<AddmmBackward0>) tensor([[0.5556]])
Average loss: tensor(0.1825, grad_fn=<DivBackward0>)
tensor([[0.7280]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1847, grad_fn=<DivBackward0>)
tensor([[0.7075]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1841, grad_fn=<DivBackward0>)
tensor([[0.6932]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(0.1831, grad_fn=<DivBackward0>)
tensor([[0.6807]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(0.1819, grad_fn=<DivBackward0>)
tensor([[0.6720]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1815, grad_fn=<DivBackward0>)
tensor([[0.6676]], grad_fn=<AddmmBackward0>) tensor([[0.4000]])
Average loss: tensor(0.1808, grad_fn=<DivBackward0>)
tensor([[0.6596]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1804, grad_fn=<DivBackward0>)
tensor([[0.6557]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1800, grad_fn=<DivBackward0>)
tensor([[0.6577]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1796, grad_fn=<DivBackward0>)
tensor([[0.6621]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.1788, grad_fn=<DivBackward0>)
tensor([[0.6648]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1784, grad_fn=<DivBackward0>)
tensor([[0.6697]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1780, grad_fn=<DivBackward0>)
tensor([[0.6796]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1775, grad_fn=<DivBackward0>)
tensor([[0.6914]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1770, grad_fn=<DivBackward0>)
tensor([[0.7068]], grad_fn=<AddmmBackward0>) tensor([[0.5000]])
Average loss: tensor(0.1762, grad_fn=<DivBackward0>)
tensor([[0.7166]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1754, grad_fn=<DivBackward0>)
tensor([[0.7283]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1748, grad_fn=<DivBackward0>)
tensor([[0.7429]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1741, grad_fn=<DivBackward0>)
tensor([[0.7591]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1735, grad_fn=<DivBackward0>)
tensor([[0.7770]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1728, grad_fn=<DivBackward0>)
tensor([[0.7973]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1720, grad_fn=<DivBackward0>)
tensor([[0.8192]], grad_fn=<AddmmBackward0>) tensor([[0.4286]])
Average loss: tensor(0.1719, grad_fn=<DivBackward0>)
tensor([[0.8338]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1711, grad_fn=<DivBackward0>)
tensor([[0.8486]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1702, grad_fn=<DivBackward0>)
tensor([[0.8632]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1694, grad_fn=<DivBackward0>)
tensor([[0.8799]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1685, grad_fn=<DivBackward0>)
tensor([[0.8963]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1676, grad_fn=<DivBackward0>)
tensor([[0.9141]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1668, grad_fn=<DivBackward0>)
tensor([[0.9342]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1659, grad_fn=<DivBackward0>)
tensor([[0.9522]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1650, grad_fn=<DivBackward0>)
tensor([[0.9642]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1641, grad_fn=<DivBackward0>)
tensor([[0.9854]], grad_fn=<AddmmBackward0>) tensor([[0.1111]])
Average loss: tensor(0.1673, grad_fn=<DivBackward0>)
tensor([[0.9773]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1665, grad_fn=<DivBackward0>)
tensor([[0.9773]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1656, grad_fn=<DivBackward0>)
tensor([[0.9710]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(0.1655, grad_fn=<DivBackward0>)
tensor([[0.9602]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1695, grad_fn=<DivBackward0>)
tensor([[0.9334]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1687, grad_fn=<DivBackward0>)
tensor([[0.9124]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(0.1722, grad_fn=<DivBackward0>)
tensor([[0.8767]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1713, grad_fn=<DivBackward0>)
tensor([[0.8481]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(0.1705, grad_fn=<DivBackward0>)
tensor([[0.8237]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(0.1696, grad_fn=<DivBackward0>)
tensor([[0.8034]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1689, grad_fn=<DivBackward0>)
tensor([[0.7878]], grad_fn=<AddmmBackward0>) tensor([[0.6000]])
Average loss: tensor(0.1683, grad_fn=<DivBackward0>)
tensor([[0.7719]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(0.1675, grad_fn=<DivBackward0>)
tensor([[0.7588]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(0.1678, grad_fn=<DivBackward0>)
tensor([[0.7416]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1672, grad_fn=<DivBackward0>)
tensor([[0.7295]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1668, grad_fn=<DivBackward0>)
tensor([[0.7218]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1663, grad_fn=<DivBackward0>)
tensor([[0.7187]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(0.1655, grad_fn=<DivBackward0>)
tensor([[0.7159]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(0.1651, grad_fn=<DivBackward0>)
