scene,listener,system,HASPI
S08780,L0212,E001,"[0.7567844251164431, 0.7970793908115905]"
S08781,L0201,E001,"[0.10111897148311644, 0.2188282607275829]"
S08782,L0243,E001,"[0.5965645939643885, 0.5362228851319331]"
S08785,L0224,E001,"[0.5834824170633421, 0.7903653512234748]"
S08790,L0240,E001,"[0.7399843905851015, 0.9495201410352223]"
S08791,L0200,E001,"[0.40386797626309057, 0.006257355508250904]"
S08791,L0240,E001,"[0.9641696621374554, 0.9149055301562989]"
S08793,L0217,E001,"[0.5402537473602049, 0.005269601820905255]"
S08794,L0216,E001,"[0.800361548202855, 0.6760320201374914]"
S08798,L0229,E001,"[0.0305457885422582, 0.10235806809466465]"
S08800,L0243,E001,"[0.1170211109843565, 0.13935441378532723]"
S08809,L0224,E001,"[0.012870954612975318, 0.006420898758836868]"
S08816,L0215,E001,"[0.36373343405509845, 0.36852110198215743]"
S08817,L0243,E001,"[0.08831385549948868, 0.4162862496226296]"
S08818,L0227,E001,"[0.005308412562280909, 0.9218512984908527]"
S08820,L0212,E001,"[0.5252237713275874, 0.4327228253627775]"
S08820,L0221,E001,"[0.5886973388324509, 0.6074087189976437]"
S08836,L0242,E001,"[0.29302647329064974, 0.7808576168390036]"
S08837,L0243,E001,"[0.19351184163452523, 0.9470093981691672]"
S08843,L0215,E001,"[0.2799882855572372, 0.24110021678710944]"
S08844,L0219,E001,"[0.006226673400268391, 0.9228700856574492]"
S08844,L0225,E001,"[0.8512741204610996, 0.8267284664386237]"
S08853,L0219,E001,"[0.010984572289936528, 0.9829934091202992]"
S08862,L0217,E001,"[0.4043556619090969, 0.006304309079209678]"
S08869,L0206,E001,"[0.9981396550677648, 0.029850495380264744]"
S08875,L0239,E001,"[0.0072489708201758304, 0.01353063076598249]"
S08887,L0218,E001,"[0.0839118147090133, 0.06280294585156175]"
S08887,L0221,E001,"[0.025573202196695666, 0.05479248382146277]"
S08889,L0200,E001,"[0.9682115882357025, 0.02578006971907448]"
S08889,L0240,E001,"[0.9989617037318715, 0.9342539765820809]"
S08890,L0216,E001,"[0.2766593378519387, 0.06093945250624976]"
S08895,L0236,E001,"[0.00578112358080142, 0.0085077436756402]"
S08901,L0224,E001,"[0.29238078692326597, 0.5859364036257556]"
S08903,L0222,E001,"[0.11863864515274923, 0.0186087789509809]"
S08905,L0225,E001,"[0.40973401009476473, 0.376919572501766]"
S08905,L0231,E001,"[0.24949241978572817, 0.4274872439837994]"
S08911,L0243,E001,"[0.18777050253509578, 0.25620272405519373]"
S08916,L0236,E001,"[0.09476292822572502, 0.6162809120797975]"
S08922,L0236,E001,"[0.15869372934833023, 0.8389362457623254]"
S08923,L0236,E001,"[0.026076225381256236, 0.37157119619160983]"
S08929,L0243,E001,"[0.06042049829103188, 0.16906410690667922]"
S08931,L0217,E001,"[0.8226742344882783, 0.0048061358215348215]"
S08935,L0216,E001,"[0.07311175789097246, 0.016288629429337124]"
S08939,L0222,E001,"[0.3070726802319406, 0.40402818145474856]"
S08943,L0201,E001,"[0.2715341261245015, 0.4063133710110598]"
S08949,L0231,E001,"[0.3532140335140905, 0.3425984075924427]"
S08950,L0231,E001,"[0.5255368177131738, 0.7594119080571609]"
S08952,L0215,E001,"[0.304441635961817, 0.5557937334218092]"
S08956,L0242,E001,"[0.035308955629979, 0.438810937469015]"
S08959,L0218,E001,"[0.31086576886342066, 0.4429360852279866]"
S08959,L0221,E001,"[0.24098220460585373, 0.48987840255789467]"
S08961,L0209,E001,"[0.5176885067725759, 0.7748376291133195]"
S08965,L0219,E001,"[0.0042256241094539146, 0.013162876546718494]"
S08965,L0225,E001,"[0.03500337132391722, 0.016360776981945213]"
S08973,L0201,E001,"[0.07687228322944478, 0.22026079936377843]"
S08976,L0206,E001,"[0.26395571917494615, 0.0522937025946532]"
S08977,L0243,E001,"[0.44158102795075127, 0.2130655822307492]"
S08979,L0206,E001,"[0.7481852940421422, 0.008737084132838809]"
S08979,L0212,E001,"[0.7788927667202926, 0.801098691187558]"
S08980,L0242,E001,"[0.1474582678588682, 0.5305502143980575]"
S08983,L0227,E001,"[0.009945624844204514, 0.4811434982468742]"
S08987,L0206,E001,"[0.013050607313832913, 0.004871161255406402]"
S08993,L0200,E001,"[0.21226670603606343, 0.03551880115846703]"
S08993,L0240,E001,"[0.18703339251476134, 0.36329684171579585]"
S08998,L0224,E001,"[0.1003233178388459, 0.2195925033152056]"
S09011,L0209,E001,"[0.8021711862250215, 0.7324508388857277]"
S09018,L0215,E001,"[0.7264262785781905, 0.4757388288718119]"
S09029,L0209,E001,"[0.6307098022323956, 0.7871326312887885]"
S09030,L0243,E001,"[0.5720981004038874, 0.42881989148200633]"
S09034,L0216,E001,"[0.17789051739076286, 0.20322311458633302]"
S09040,L0231,E001,"[0.0658665641046553, 0.10675657774172549]"
S09047,L0224,E001,"[0.12653346144287658, 0.5971629491291377]"
S09049,L0222,E001,"[0.5601006674000674, 0.8054331477225164]"
S09061,L0243,E001,"[0.8649907392713966, 0.9642335055315105]"
S09065,L0222,E001,"[0.2814269837161819, 0.23346742081771632]"
S09067,L0201,E001,"[0.3434199620091659, 0.30888305331946736]"
S09069,L0217,E001,"[0.8696622344017277, 0.004005531246348729]"
S09071,L0215,E001,"[0.49053482475925225, 0.726258570452574]"
S09073,L0200,E001,"[0.48028563848091804, 0.3970395655954824]"
S09073,L0240,E001,"[0.8855920317240213, 0.9088010674633156]"
S09080,L0216,E001,"[0.3394243631061954, 0.5554065978337065]"
S09086,L0222,E001,"[0.07836451810344086, 0.013315351114167892]"
S09088,L0206,E001,"[0.00636082547069699, 0.0050622192978499615]"
S09088,L0212,E001,"[0.005847240225129869, 0.009581875752764642]"
S09092,L0200,E001,"[0.17459324688344177, 0.06502675097042686]"
S09092,L0240,E001,"[0.3527282545191239, 0.5719373454607664]"
S09094,L0239,E001,"[0.5326495100296065, 0.04171163262020653]"
S09101,L0217,E001,"[0.686258732270877, 0.006691811205668038]"
S09107,L0239,E001,"[0.17608147245636066, 0.0793979363234281]"
S09111,L0227,E001,"[0.004246632505806489, 0.07024196301786084]"
S09128,L0240,E001,"[0.8599527324717378, 0.33882284266555024]"
S09136,L0224,E001,"[0.08014994403584852, 0.14012431406980644]"
S09140,L0206,E001,"[0.6967611747460141, 0.013255115918125164]"
S09140,L0212,E001,"[0.4553962403751994, 0.6773644406029891]"
S09142,L0243,E001,"[0.060776423958917546, 0.2202726903619909]"
S09144,L0224,E001,"[0.043089128398994876, 0.04342505042143371]"
S09154,L0224,E001,"[0.02150720266594912, 0.0964078784291386]"
S09155,L0206,E001,"[0.290846145347739, 0.005371635214608844]"
S09156,L0236,E001,"[0.07917327712499915, 0.315377428051656]"
S09158,L0218,E001,"[0.13864761600746303, 0.1285841244922259]"
S09161,L0216,E001,"[0.8297790067066905, 0.6950049078985668]"
S09164,L0239,E001,"[0.19799003797357845, 0.03660822829944385]"
S09175,L0200,E001,"[0.4984228027560762, 0.11217410799296362]"
S09175,L0240,E001,"[0.8470441053191062, 0.8747901194111132]"
S09181,L0219,E001,"[0.006219328483975014, 0.4128010675771281]"
S09181,L0225,E001,"[0.6824196917133372, 0.4824005878095233]"
S09188,L0215,E001,"[0.751284107663884, 0.2723617131069613]"
S09193,L0216,E001,"[0.2928107429308945, 0.49128647464922875]"
S09196,L0215,E001,"[0.2922829632850878, 0.033798648066118854]"
S09199,L0239,E001,"[0.8122974555044501, 0.5077216819260175]"
S09203,L0206,E001,"[0.9793124320416179, 0.041249022842994164]"
S09208,L0239,E001,"[0.017036784071498213, 0.0905516183432094]"
S09209,L0225,E001,"[0.254708912804353, 0.8623425450779127]"
S09209,L0231,E001,"[0.1921334774001127, 0.8833348291859241]"
S09214,L0200,E001,"[0.7422194882995694, 0.21245347613413054]"
S09228,L0219,E001,"[0.027977484989792835, 0.7637638427606881]"
S09231,L0227,E001,"[0.0047795963780063394, 0.00898484968636786]"
S09245,L0206,E001,"[0.7068518379051685, 0.004421369905740701]"
S09245,L0212,E001,"[0.678767176631547, 0.3678181745230558]"
S09246,L0224,E001,"[0.0059582436764810814, 0.17581859097936442]"
S09248,L0201,E001,"[0.5808378446910796, 0.0616822180615258]"
S09250,L0212,E001,"[0.30240915124837514, 0.10879153283425581]"
S09250,L0221,E001,"[0.11799718367554818, 0.0985789268376331]"
S09255,L0217,E001,"[0.012031823346088802, 0.00904622487860359]"
S09259,L0209,E001,"[0.2171384357276035, 0.4591012388199117]"
S09261,L0201,E001,"[0.8656731945267293, 0.9788337055392804]"
S09265,L0243,E001,"[0.29232872409814853, 0.6715230085178193]"
S09270,L0218,E001,"[0.9099961894267, 0.9273291054223897]"
S09270,L0221,E001,"[0.8230994278022085, 0.8541860810699797]"
S09271,L0206,E001,"[0.8104988668307608, 0.04370477827696526]"
S09271,L0212,E001,"[0.7439664686925077, 0.8392191538952112]"
S09276,L0200,E001,"[0.3494434482863399, 0.012142028092604264]"
S09277,L0243,E001,"[0.018386549770734274, 0.035075174489882587]"
S09280,L0243,E001,"[0.29456419416952506, 0.9119748033880797]"
S09281,L0227,E001,"[0.008517716313206532, 0.35358156429563103]"
S09282,L0209,E001,"[0.7893147674973506, 0.8352258788366336]"
S09288,L0216,E001,"[0.6555633800293582, 0.7934694851746973]"
S09297,L0227,E001,"[0.01116624529083033, 0.8750384735394928]"
S09298,L0206,E001,"[0.4034386757391739, 0.10656036066515347]"
S09308,L0243,E001,"[0.7955247682484475, 0.630002382182234]"
S09314,L0216,E001,"[0.32319453847841434, 0.2734778019641815]"
S09317,L0200,E001,"[0.32443445573056545, 0.12357929484805166]"
S09317,L0240,E001,"[0.7027181687936431, 0.6756066833713629]"
S09321,L0216,E001,"[0.7058235256268058, 0.9203472756680523]"
S09325,L0215,E001,"[0.2946863057220056, 0.5575207004428252]"
S09328,L0216,E001,"[0.8598014442680976, 0.6702314997296697]"
S09329,L0209,E001,"[0.40072893789545516, 0.6563150129424596]"
S09332,L0209,E001,"[0.8983373239667527, 0.6650984346984816]"
S09338,L0227,E001,"[0.004423235986899262, 0.1671997351148613]"
S09339,L0224,E001,"[0.45479826368970283, 0.29872624861952773]"
S09341,L0239,E001,"[0.03975148856443228, 0.006309340787496074]"
S09342,L0243,E001,"[0.17095714342887455, 0.09799693084189458]"
S09345,L0215,E001,"[0.12316244746292065, 0.28255508992863304]"
S09346,L0219,E001,"[0.035350215682844445, 0.5916091511137548]"
S09350,L0229,E001,"[0.6871599860733496, 0.37669147817087106]"
S09350,L0242,E001,"[0.20735367687855477, 0.05521760547885057]"
S09351,L0229,E001,"[0.3291950356608969, 0.3098415465290149]"
S09351,L0242,E001,"[0.2148120466975645, 0.23468699773841234]"
S09352,L0229,E001,"[0.3486970803825086, 0.9127758192643343]"
S09352,L0242,E001,"[0.06429740042927594, 0.195179362892889]"
S09363,L0227,E001,"[0.003992239128251142, 0.3118036519591879]"
S09365,L0243,E001,"[0.0806419029676816, 0.3426320209771775]"
S09366,L0215,E001,"[0.1497247223997019, 0.03357104059160794]"
S09377,L0216,E001,"[0.03948413162689699, 0.21215924438880807]"
S09380,L0239,E001,"[0.202739672902805, 0.24082816891796913]"
S09382,L0218,E001,"[0.23891813668155962, 0.6019443477611861]"
S09382,L0221,E001,"[0.04391016710213143, 0.7428305780624297]"
S09386,L0225,E001,"[0.6894603485744351, 0.32245997201068155]"
S09386,L0231,E001,"[0.6017413807357085, 0.5277385471742692]"
S09387,L0225,E001,"[0.2938346004075589, 0.15692911966393208]"
S09387,L0231,E001,"[0.022681567106601734, 0.11795947963203335]"
S09396,L0216,E001,"[0.3822307414136878, 0.5101986844344227]"
S09397,L0206,E001,"[0.8501397416281992, 0.006194449530107884]"
S09398,L0239,E001,"[0.346509301725553, 0.05790187762074138]"
S09402,L0201,E001,"[0.5882560678597812, 0.7780610060411995]"
S09406,L0222,E001,"[0.05813280772809304, 0.1267734073586282]"
S09426,L0225,E001,"[0.05006749552618221, 0.018206472930330675]"
S09426,L0231,E001,"[0.0371058574606657, 0.01795168563296374]"
S09438,L0218,E001,"[0.5526998798908859, 0.5702443526678753]"
S09438,L0221,E001,"[0.5583362362150747, 0.4131993858938726]"
S09446,L0222,E001,"[0.5490043965831802, 0.9251175496803232]"
S09450,L0231,E001,"[0.13071614745270263, 0.15039475239035782]"
S09451,L0216,E001,"[0.1285366761277499, 0.16341514815917701]"
S09452,L0201,E001,"[0.9636176256314173, 0.957370804643397]"
S09455,L0222,E001,"[0.30109750452891343, 0.5481862459529242]"
S09459,L0219,E001,"[0.007415100700664614, 0.38821835552076184]"
S09470,L0239,E001,"[0.10796039238092005, 0.20465596954980989]"
S09474,L0229,E001,"[0.8107380344719716, 0.8315962146518215]"
S09474,L0242,E001,"[0.13387125616434353, 0.4825858859706544]"
S09480,L0209,E001,"[0.32977490146878946, 0.05907316629207662]"
S09483,L0229,E001,"[0.10760921009899302, 0.31140929240771537]"
S09483,L0242,E001,"[0.008035637679450244, 0.07185176459754493]"
S09485,L0200,E001,"[0.5315803033806515, 0.07094416745898581]"
S09485,L0240,E001,"[0.5127022740437979, 0.5683296875282171]"
S09488,L0218,E001,"[0.47561256380443223, 0.48782828301999775]"
S09488,L0221,E001,"[0.5042417686961521, 0.18280529684310462]"
S09500,L0218,E001,"[0.11382965556980411, 0.10392101283280622]"
S09502,L0242,E001,"[0.0168101428329656, 0.005807776750685343]"
S09509,L0231,E001,"[0.29586255827538677, 0.9600440212194099]"
S09510,L0222,E001,"[0.12106301743066886, 0.2449996188013545]"
S09515,L0216,E001,"[0.7782525957568424, 0.6711523455064743]"
S09519,L0219,E001,"[0.09000139487428656, 0.9657279684325579]"
S09519,L0225,E001,"[0.9648526429991484, 0.9763989493383973]"
S09525,L0224,E001,"[0.273633398014029, 0.3082889414381767]"
S09532,L0222,E001,"[0.041190322355165426, 0.03962108839088717]"
S09533,L0215,E001,"[0.8854415610641974, 0.522597720063984]"
S09540,L0219,E001,"[0.007308411820265373, 0.765868583344949]"
S09543,L0227,E001,"[0.03549102493467991, 0.0610697190950929]"
S09546,L0217,E001,"[0.04194959160746549, 0.004546368060830595]"
S09553,L0240,E001,"[0.4670606649806939, 0.24513470340491664]"
S09554,L0239,E001,"[0.5083696970744562, 0.028837502309912416]"
S09564,L0224,E001,"[0.3081245843545495, 0.668526657817711]"
S09569,L0227,E001,"[0.006183338447726255, 0.22379005600243054]"
S09571,L0206,E001,"[0.8476069973947491, 0.03424077831541734]"
S09571,L0212,E001,"[0.7310347869733054, 0.7125808736353106]"
S09573,L0229,E001,"[0.07413822627594192, 0.04141152721554942]"
S09574,L0225,E001,"[0.604716282159721, 0.4489824781599827]"
S09574,L0231,E001,"[0.7439354286813762, 0.5902818010760611]"
S09577,L0239,E001,"[0.5363833147151471, 0.23207128425310036]"
S09579,L0229,E001,"[0.2835747548951576, 0.3366236334578155]"
S09579,L0242,E001,"[0.04186545097355065, 0.2899777047389567]"
S09580,L0225,E001,"[0.6985031028852914, 0.5968076946196128]"
S09580,L0231,E001,"[0.41936254029439807, 0.625925195762408]"
S09581,L0222,E001,"[0.8043561328762707, 0.7468977355012888]"
S09586,L0239,E001,"[0.8206445516799746, 0.5487416188697098]"
S09587,L0229,E001,"[0.6965117771920373, 0.6531266337957584]"
S09587,L0242,E001,"[0.17896315470061275, 0.31524326183220663]"
S09589,L0218,E001,"[0.713049327517695, 0.556199088258995]"
S09596,L0224,E001,"[0.359434266017869, 0.9261225003710337]"
S09606,L0224,E001,"[0.004375731727394332, 0.005884053179677755]"
S09613,L0225,E001,"[0.665507046639448, 0.28429708285560057]"
S09613,L0231,E001,"[0.014581432329873087, 0.34019263739302885]"
S09615,L0227,E001,"[0.004567038308193803, 0.858901848678068]"
S09616,L0217,E001,"[0.8001413860089011, 0.005212709137385802]"
S09620,L0242,E001,"[0.2535345229023939, 0.3221913097781087]"
S09625,L0217,E001,"[0.8100705692797547, 0.04979696489709413]"
S09626,L0243,E001,"[0.19491282586038022, 0.6570638436057262]"
S09627,L0219,E001,"[0.006235995194677678, 0.8561477729052976]"
S09628,L0206,E001,"[0.48441450970711575, 0.003958838417871807]"
S09628,L0212,E001,"[0.15674273629665786, 0.2952733720429785]"
S09634,L0240,E001,"[0.24971792158605155, 0.3246104525901084]"
S09637,L0242,E001,"[0.012276133573943505, 0.329869893676422]"
S09641,L0227,E001,"[0.10653241575351381, 0.6787759890171309]"
S09646,L0201,E001,"[0.5550979383886085, 0.34170446585993963]"
S09649,L0201,E001,"[0.8668370039784524, 0.9915292058692797]"
S09655,L0219,E001,"[0.0062329252353661565, 0.029229394038630226]"
S09655,L0225,E001,"[0.12668623586971797, 0.048138400199841135]"
S09666,L0216,E001,"[0.41404547573782713, 0.4829891270243964]"
S09669,L0225,E001,"[0.699300856827556, 0.8239214733544082]"
S09669,L0231,E001,"[0.7742935075153452, 0.8224838712906295]"
S09670,L0201,E001,"[0.9047267864376606, 0.9709376124962452]"
S09673,L0200,E001,"[0.08600405729462203, 0.17457403013396813]"
S09673,L0240,E001,"[0.12643304664064292, 0.3079449116663993]"
S09676,L0229,E001,"[0.997186530526187, 0.9999429565943859]"
S09677,L0236,E001,"[0.07522361766775197, 0.010247475557686478]"
S09678,L0209,E001,"[0.4251332884244663, 0.3943438434361997]"
S09681,L0227,E001,"[0.017763189431047738, 0.4430689723248472]"
S09684,L0227,E001,"[0.005543875309389592, 0.03465956572823329]"
S09689,L0209,E001,"[0.19869207329948863, 0.16457052506738373]"
S09704,L0217,E001,"[0.9305172573522845, 0.006320102224379871]"
S09707,L0201,E001,"[0.007431170287172217, 0.010995612516425252]"
S09714,L0212,E001,"[0.8483826008862815, 0.9208185995837256]"
S09714,L0221,E001,"[0.8561049351893255, 0.9461120680038066]"
S09715,L0219,E001,"[0.04077624140105441, 0.036701194250140505]"
S09715,L0225,E001,"[0.11897723583950379, 0.03862773601316188]"
S09716,L0227,E001,"[0.004137023495930203, 0.9150566598721912]"
S09719,L0236,E001,"[0.004991733818092086, 0.005121282638921421]"
S09733,L0224,E001,"[0.46030081974401055, 0.45820225766122885]"
S09740,L0201,E001,"[0.1855810757157035, 0.40774994609841186]"
S09752,L0243,E001,"[0.26366780196702966, 0.22186265842601743]"
S09753,L0243,E001,"[0.04793592220910384, 0.09792909680110587]"
S09754,L0236,E001,"[0.031129265265280197, 0.14489973676062767]"
S09759,L0229,E001,"[0.2327347000744158, 0.2698075011446987]"
S09765,L0227,E001,"[0.0044024071290030995, 0.06520926707285396]"
S09767,L0209,E001,"[0.29034417278840347, 0.6899187515556138]"
S09770,L0243,E001,"[0.047015400662347426, 0.05305067766253916]"
S09776,L0217,E001,"[0.05468057619692257, 0.004415357244164323]"
S09793,L0215,E001,"[0.09331294092387445, 0.27971588255932156]"
S09803,L0222,E001,"[0.2639601919835943, 0.03430364602491656]"
S09811,L0216,E001,"[0.2234391905380212, 0.1625213435101052]"
S09818,L0236,E001,"[0.0785592688473675, 0.10738555840213164]"
S09819,L0218,E001,"[0.5847509264884082, 0.5153931358402156]"
S09819,L0221,E001,"[0.5903517102950248, 0.5001562647302004]"
S09824,L0212,E001,"[0.6963124050872075, 0.7367485323438742]"
S09824,L0221,E001,"[0.6162254102244892, 0.7496506622910135]"
S09827,L0229,E001,"[0.8445000575807176, 0.7260619301182792]"
S09830,L0222,E001,"[0.01748200175517738, 0.6157643064394448]"
S09833,L0216,E001,"[0.575623776602654, 0.50633231352669]"
S09837,L0219,E001,"[0.010578203277373596, 0.8685286652676732]"
S09837,L0225,E001,"[0.9604950074855617, 0.8754088265654467]"
S09841,L0206,E001,"[0.05681511388167891, 0.004947300087700461]"
S09844,L0215,E001,"[0.15477485280640338, 0.045247252517670616]"
S09846,L0218,E001,"[0.35093541078548346, 0.15539057160518838]"
S09856,L0227,E001,"[0.005258714148003264, 0.07705738964895857]"
S09857,L0225,E001,"[0.9803026267110686, 0.961738811471393]"
S09857,L0231,E001,"[0.7685821172171687, 0.9701728179343553]"
S09860,L0215,E001,"[0.5632636154113939, 0.6717244904157397]"
S09861,L0236,E001,"[0.060255945590087026, 0.21718002115069546]"
S09862,L0201,E001,"[0.9897481023043825, 0.9955882279035169]"
S09865,L0215,E001,"[0.8087343307801731, 0.5302983788881179]"
S09866,L0200,E001,"[0.5151045665640446, 0.23660214588704404]"
S09870,L0216,E001,"[0.5457583195725825, 0.661133182066744]"
S09877,L0236,E001,"[0.12084297801538443, 0.11046712506147613]"
S09884,L0215,E001,"[0.40880280889795023, 0.4137533495014765]"
S09892,L0215,E001,"[0.677583802530683, 0.9782258465259025]"
S09893,L0240,E001,"[0.547523631904927, 0.627419935356015]"
S09894,L0200,E001,"[0.21502701914325648, 0.04840806998882855]"
S09894,L0240,E001,"[0.8325085718879854, 0.647483797872123]"
S09899,L0227,E001,"[0.004826059646750592, 0.9169987816837458]"
S09900,L0206,E001,"[0.21057689789069955, 0.02484852891990818]"
S09903,L0212,E001,"[0.13602736655762823, 0.08721404576467245]"
S09903,L0221,E001,"[0.2177878529128162, 0.1735448006187257]"
S09904,L0215,E001,"[0.09828144612797003, 0.37719752567812104]"
S09907,L0201,E001,"[0.01789866499066415, 0.011965259651712332]"
S09908,L0224,E001,"[0.18956635232153915, 0.24114728850364567]"
S09911,L0236,E001,"[0.007617760522611872, 0.2312273405689789]"
S09913,L0217,E001,"[0.438825151493486, 0.013286440162289203]"
S09919,L0242,E001,"[0.026893363954420896, 0.7293520256780844]"
S09922,L0231,E001,"[0.0052656193448725325, 0.008378713613364137]"
S09923,L0219,E001,"[0.00641908013070211, 0.5251303556422948]"
S09928,L0216,E001,"[0.422034122315329, 0.27473996505732673]"
S09934,L0229,E001,"[0.1322653360710255, 0.05407003516983578]"
S09934,L0242,E001,"[0.04264096627206319, 0.030056161866837804]"
S09945,L0224,E001,"[0.0507869462310119, 0.04983006116133878]"
S09951,L0239,E001,"[0.3596119354293908, 0.15772962717436603]"
S09952,L0219,E001,"[0.009969776139148257, 0.6509257396028855]"
S09952,L0225,E001,"[0.22743047415345044, 0.6581724474938945]"
S09961,L0231,E001,"[0.6607237534226524, 0.601347496241647]"
S09969,L0243,E001,"[0.5520811223182034, 0.5865044648937499]"
S09971,L0219,E001,"[0.09959708174352855, 0.22373849793029507]"
S09972,L0206,E001,"[0.8662945018582586, 0.006410708520234733]"
S10000,L0236,E001,"[0.009984822394250381, 0.08363330868549984]"
S08508,L0243,E003,"[0.8504600382239909, 0.7564425776261074]"
S08510,L0219,E003,"[0.5034804462645927, 0.7829416922724333]"
S08510,L0225,E003,"[0.7875375343415959, 0.8250379507269006]"
S08512,L0212,E003,"[0.3916909769865847, 0.9233258137994036]"
S08512,L0221,E003,"[0.5970154146065818, 0.932166334575762]"
S08529,L0224,E003,"[0.8662403059466486, 0.9241141966869871]"
S08532,L0236,E003,"[0.39155937434752186, 0.5404565165675738]"
