tensor([[0.0164]], grad_fn=<AddmmBackward0>) tensor([[1.]])
tensor([[-0.0108]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(22.9414, grad_fn=<DivBackward0>)
tensor([[-0.0037]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(22.2032, grad_fn=<DivBackward0>)
tensor([[-0.0068]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(21.4870, grad_fn=<DivBackward0>)
tensor([[-0.0039]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(20.8155, grad_fn=<DivBackward0>)
tensor([[0.0043]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(20.1862, grad_fn=<DivBackward0>)
tensor([[-5.9292e-05]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(19.5929, grad_fn=<DivBackward0>)
tensor([[0.0071]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(19.0613, grad_fn=<DivBackward0>)
tensor([[0.0044]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(18.5318, grad_fn=<DivBackward0>)
tensor([[0.0059]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(18.0440, grad_fn=<DivBackward0>)
tensor([[0.0143]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(17.5947, grad_fn=<DivBackward0>)
tensor([[0.0128]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(17.1685, grad_fn=<DivBackward0>)
tensor([[0.0205]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(16.7633, grad_fn=<DivBackward0>)
tensor([[0.0246]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(16.3721, grad_fn=<DivBackward0>)
tensor([[0.0293]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(16.0047, grad_fn=<DivBackward0>)
tensor([[0.0341]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(15.6333, grad_fn=<DivBackward0>)
tensor([[0.0356]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(15.2992, grad_fn=<DivBackward0>)
tensor([[0.0413]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(14.9796, grad_fn=<DivBackward0>)
tensor([[0.0419]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(14.6739, grad_fn=<DivBackward0>)
tensor([[0.0487]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(14.3810, grad_fn=<DivBackward0>)
tensor([[0.0563]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(14.0999, grad_fn=<DivBackward0>)
tensor([[0.0569]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(13.8303, grad_fn=<DivBackward0>)
tensor([[0.0633]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(13.5673, grad_fn=<DivBackward0>)
tensor([[0.0725]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(13.3147, grad_fn=<DivBackward0>)
tensor([[0.0785]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(13.0750, grad_fn=<DivBackward0>)
tensor([[0.0848]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(12.8441, grad_fn=<DivBackward0>)
tensor([[0.0912]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(12.6216, grad_fn=<DivBackward0>)
tensor([[0.0977]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(12.3923, grad_fn=<DivBackward0>)
tensor([[0.0989]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(12.1711, grad_fn=<DivBackward0>)
tensor([[0.1079]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.9716, grad_fn=<DivBackward0>)
tensor([[0.1141]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.7787, grad_fn=<DivBackward0>)
tensor([[0.1202]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.5922, grad_fn=<DivBackward0>)
tensor([[0.1284]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.4116, grad_fn=<DivBackward0>)
tensor([[0.1383]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.2367, grad_fn=<DivBackward0>)
tensor([[0.1452]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(11.0673, grad_fn=<DivBackward0>)
tensor([[0.1532]], grad_fn=<AddmmBackward0>) tensor([[0.7000]])
Average loss: tensor(10.8964, grad_fn=<DivBackward0>)
tensor([[0.1645]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(10.7370, grad_fn=<DivBackward0>)
tensor([[0.1722]], grad_fn=<AddmmBackward0>) tensor([[0.5556]])
Average loss: tensor(10.5741, grad_fn=<DivBackward0>)
tensor([[0.1818]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(10.4240, grad_fn=<DivBackward0>)
tensor([[0.1908]], grad_fn=<AddmmBackward0>) tensor([[0.1111]])
Average loss: tensor(10.2685, grad_fn=<DivBackward0>)
tensor([[0.2003]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(10.1269, grad_fn=<DivBackward0>)
tensor([[0.2072]], grad_fn=<AddmmBackward0>) tensor([[0.1000]])
Average loss: tensor(9.9803, grad_fn=<DivBackward0>)
tensor([[0.2166]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(9.8378, grad_fn=<DivBackward0>)
tensor([[0.2245]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(9.7078, grad_fn=<DivBackward0>)
tensor([[0.2314]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(9.5811, grad_fn=<DivBackward0>)
tensor([[0.2394]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(9.4501, grad_fn=<DivBackward0>)
tensor([[0.2456]], grad_fn=<AddmmBackward0>) tensor([[0.5556]])
Average loss: tensor(9.3237, grad_fn=<DivBackward0>)
tensor([[0.2535]], grad_fn=<AddmmBackward0>) tensor([[0.4444]])
Average loss: tensor(9.1998, grad_fn=<DivBackward0>)
tensor([[0.2627]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(9.0797, grad_fn=<DivBackward0>)
tensor([[0.2671]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.9687, grad_fn=<DivBackward0>)
tensor([[0.2702]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.8606, grad_fn=<DivBackward0>)
tensor([[0.2790]], grad_fn=<AddmmBackward0>) tensor([[0.6250]])
Average loss: tensor(8.7499, grad_fn=<DivBackward0>)
tensor([[0.2877]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(8.6446, grad_fn=<DivBackward0>)
tensor([[0.2948]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.5440, grad_fn=<DivBackward0>)
tensor([[0.3028]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.4458, grad_fn=<DivBackward0>)
tensor([[0.3107]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.3497, grad_fn=<DivBackward0>)
tensor([[0.3201]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(8.2558, grad_fn=<DivBackward0>)
tensor([[0.3277]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(8.1620, grad_fn=<DivBackward0>)
tensor([[0.3405]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(8.0684, grad_fn=<DivBackward0>)
tensor([[0.3496]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(7.9763, grad_fn=<DivBackward0>)
tensor([[0.3567]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(7.8871, grad_fn=<DivBackward0>)
tensor([[0.3581]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(7.8031, grad_fn=<DivBackward0>)
tensor([[0.3687]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(7.7179, grad_fn=<DivBackward0>)
tensor([[0.3736]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(7.6332, grad_fn=<DivBackward0>)
tensor([[0.3808]], grad_fn=<AddmmBackward0>) tensor([[0.1250]])
Average loss: tensor(7.5509, grad_fn=<DivBackward0>)
tensor([[0.3770]], grad_fn=<AddmmBackward0>) tensor([[0.3750]])
Average loss: tensor(7.4697, grad_fn=<DivBackward0>)
tensor([[0.3794]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(7.3944, grad_fn=<DivBackward0>)
tensor([[0.3835]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(7.3205, grad_fn=<DivBackward0>)
tensor([[0.3915]], grad_fn=<AddmmBackward0>) tensor([[0.8750]])
Average loss: tensor(7.2467, grad_fn=<DivBackward0>)
tensor([[0.3943]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(7.1758, grad_fn=<DivBackward0>)
tensor([[0.4022]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(7.1062, grad_fn=<DivBackward0>)
tensor([[0.4125]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(7.0364, grad_fn=<DivBackward0>)
tensor([[0.4170]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.9695, grad_fn=<DivBackward0>)
tensor([[0.4242]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(6.9023, grad_fn=<DivBackward0>)
tensor([[0.4399]], grad_fn=<AddmmBackward0>) tensor([[0.3000]])
Average loss: tensor(6.8348, grad_fn=<DivBackward0>)
tensor([[0.4399]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(6.7704, grad_fn=<DivBackward0>)
tensor([[0.4587]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.7082, grad_fn=<DivBackward0>)
tensor([[0.4574]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.6471, grad_fn=<DivBackward0>)
tensor([[0.4734]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(6.5865, grad_fn=<DivBackward0>)
tensor([[0.4798]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.5274, grad_fn=<DivBackward0>)
tensor([[0.4853]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(6.4675, grad_fn=<DivBackward0>)
tensor([[0.4998]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.4105, grad_fn=<DivBackward0>)
tensor([[0.5028]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.3544, grad_fn=<DivBackward0>)
tensor([[0.5203]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(6.2977, grad_fn=<DivBackward0>)
tensor([[0.5196]], grad_fn=<AddmmBackward0>) tensor([[0.6667]])
Average loss: tensor(6.2416, grad_fn=<DivBackward0>)
tensor([[0.5298]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.1884, grad_fn=<DivBackward0>)
tensor([[0.5477]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(6.1352, grad_fn=<DivBackward0>)
tensor([[0.5520]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(6.0845, grad_fn=<DivBackward0>)
tensor([[0.5557]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(6.0337, grad_fn=<DivBackward0>)
tensor([[0.5620]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.9838, grad_fn=<DivBackward0>)
tensor([[0.5741]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(5.9359, grad_fn=<DivBackward0>)
tensor([[0.5742]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.8875, grad_fn=<DivBackward0>)
tensor([[0.5876]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.8399, grad_fn=<DivBackward0>)
tensor([[0.5952]], grad_fn=<AddmmBackward0>) tensor([[0.7143]])
Average loss: tensor(5.7917, grad_fn=<DivBackward0>)
tensor([[0.5990]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.7456, grad_fn=<DivBackward0>)
tensor([[0.6002]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.7002, grad_fn=<DivBackward0>)
tensor([[0.6178]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(5.6554, grad_fn=<DivBackward0>)
tensor([[0.6203]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.6114, grad_fn=<DivBackward0>)
tensor([[0.6241]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.5679, grad_fn=<DivBackward0>)
tensor([[0.6370]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.5251, grad_fn=<DivBackward0>)
tensor([[0.6402]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.4830, grad_fn=<DivBackward0>)
tensor([[0.6625]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.4414, grad_fn=<DivBackward0>)
tensor([[0.6753]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.4003, grad_fn=<DivBackward0>)
tensor([[0.6678]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.3599, grad_fn=<DivBackward0>)
tensor([[0.6840]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.3201, grad_fn=<DivBackward0>)
tensor([[0.6942]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(5.2837, grad_fn=<DivBackward0>)
tensor([[0.7042]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.2449, grad_fn=<DivBackward0>)
tensor([[0.7096]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.2067, grad_fn=<DivBackward0>)
tensor([[0.7205]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.1690, grad_fn=<DivBackward0>)
tensor([[0.7487]], grad_fn=<AddmmBackward0>) tensor([[0.2000]])
Average loss: tensor(5.1335, grad_fn=<DivBackward0>)
tensor([[0.7487]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(5.0989, grad_fn=<DivBackward0>)
tensor([[0.7372]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(5.0624, grad_fn=<DivBackward0>)
tensor([[0.7380]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(5.0268, grad_fn=<DivBackward0>)
tensor([[0.7516]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(4.9912, grad_fn=<DivBackward0>)
tensor([[0.7514]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.9565, grad_fn=<DivBackward0>)
tensor([[0.7595]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.9223, grad_fn=<DivBackward0>)
tensor([[0.7697]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(4.8882, grad_fn=<DivBackward0>)
tensor([[0.7844]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(4.8587, grad_fn=<DivBackward0>)
tensor([[0.7623]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(4.8257, grad_fn=<DivBackward0>)
tensor([[0.7669]], grad_fn=<AddmmBackward0>) tensor([[0.6667]])
Average loss: tensor(4.7929, grad_fn=<DivBackward0>)
tensor([[0.7927]], grad_fn=<AddmmBackward0>) tensor([[0.2222]])
Average loss: tensor(4.7628, grad_fn=<DivBackward0>)
tensor([[0.7638]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.7312, grad_fn=<DivBackward0>)
tensor([[0.7726]], grad_fn=<AddmmBackward0>) tensor([[0.2857]])
Average loss: tensor(4.7012, grad_fn=<DivBackward0>)
tensor([[0.7613]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.6705, grad_fn=<DivBackward0>)
tensor([[0.7517]], grad_fn=<AddmmBackward0>) tensor([[0.8000]])
Average loss: tensor(4.6397, grad_fn=<DivBackward0>)
tensor([[0.7562]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.6098, grad_fn=<DivBackward0>)
tensor([[0.7610]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.5802, grad_fn=<DivBackward0>)
tensor([[0.7422]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(4.5507, grad_fn=<DivBackward0>)
tensor([[0.7491]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.5219, grad_fn=<DivBackward0>)
tensor([[0.7538]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.4935, grad_fn=<DivBackward0>)
tensor([[0.7692]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(4.4651, grad_fn=<DivBackward0>)
tensor([[0.7558]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.4374, grad_fn=<DivBackward0>)
tensor([[0.7543]], grad_fn=<AddmmBackward0>) tensor([[0.8889]])
Average loss: tensor(4.4098, grad_fn=<DivBackward0>)
tensor([[0.7628]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.3827, grad_fn=<DivBackward0>)
tensor([[0.7630]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.3560, grad_fn=<DivBackward0>)
tensor([[0.7817]], grad_fn=<AddmmBackward0>) tensor([[0.5714]])
Average loss: tensor(4.3296, grad_fn=<DivBackward0>)
tensor([[0.7887]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.3034, grad_fn=<DivBackward0>)
tensor([[0.7862]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(4.2774, grad_fn=<DivBackward0>)
tensor([[0.7924]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.2519, grad_fn=<DivBackward0>)
tensor([[0.8064]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(4.2303, grad_fn=<DivBackward0>)
tensor([[0.7954]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.2054, grad_fn=<DivBackward0>)
tensor([[0.8088]], grad_fn=<AddmmBackward0>) tensor([[0.8571]])
Average loss: tensor(4.1805, grad_fn=<DivBackward0>)
tensor([[0.7983]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.1562, grad_fn=<DivBackward0>)
tensor([[0.8029]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.1321, grad_fn=<DivBackward0>)
tensor([[0.8279]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(4.1121, grad_fn=<DivBackward0>)
tensor([[0.8067]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.0885, grad_fn=<DivBackward0>)
tensor([[0.8123]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.0652, grad_fn=<DivBackward0>)
tensor([[0.8017]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(4.0420, grad_fn=<DivBackward0>)
tensor([[0.8017]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(4.0193, grad_fn=<DivBackward0>)
tensor([[0.8026]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.9968, grad_fn=<DivBackward0>)
tensor([[0.8142]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.9745, grad_fn=<DivBackward0>)
tensor([[0.8127]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.9525, grad_fn=<DivBackward0>)
tensor([[0.8169]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.9307, grad_fn=<DivBackward0>)
tensor([[0.8164]], grad_fn=<AddmmBackward0>) tensor([[0.7778]])
Average loss: tensor(3.9090, grad_fn=<DivBackward0>)
tensor([[0.8252]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.8877, grad_fn=<DivBackward0>)
tensor([[0.8316]], grad_fn=<AddmmBackward0>) tensor([[0.]])
Average loss: tensor(3.8703, grad_fn=<DivBackward0>)
tensor([[0.8239]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.8494, grad_fn=<DivBackward0>)
tensor([[0.8289]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.8287, grad_fn=<DivBackward0>)
tensor([[0.8275]], grad_fn=<AddmmBackward0>) tensor([[0.9000]])
Average loss: tensor(3.8082, grad_fn=<DivBackward0>)
tensor([[0.8339]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.7880, grad_fn=<DivBackward0>)
tensor([[0.8376]], grad_fn=<AddmmBackward0>) tensor([[0.1429]])
Average loss: tensor(3.7704, grad_fn=<DivBackward0>)
tensor([[0.8331]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.7506, grad_fn=<DivBackward0>)
tensor([[0.8263]], grad_fn=<AddmmBackward0>) tensor([[0.7500]])
Average loss: tensor(3.7309, grad_fn=<DivBackward0>)
tensor([[0.8300]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.7115, grad_fn=<DivBackward0>)
tensor([[0.8241]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.6923, grad_fn=<DivBackward0>)
tensor([[0.8371]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.6733, grad_fn=<DivBackward0>)
tensor([[0.8352]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.6545, grad_fn=<DivBackward0>)
tensor([[0.8446]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.6359, grad_fn=<DivBackward0>)
tensor([[0.8453]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.6175, grad_fn=<DivBackward0>)
tensor([[0.8596]], grad_fn=<AddmmBackward0>) tensor([[0.3333]])
Average loss: tensor(3.6005, grad_fn=<DivBackward0>)
tensor([[0.8548]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.5825, grad_fn=<DivBackward0>)
tensor([[0.8454]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.5646, grad_fn=<DivBackward0>)
tensor([[0.8523]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.5469, grad_fn=<DivBackward0>)
tensor([[0.8460]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.5293, grad_fn=<DivBackward0>)
tensor([[0.8702]], grad_fn=<AddmmBackward0>) tensor([[0.2000]])
Average loss: tensor(3.5141, grad_fn=<DivBackward0>)
tensor([[0.8650]], grad_fn=<AddmmBackward0>) tensor([[1.]])
Average loss: tensor(3.4969, grad_fn=<DivBackward0>)
